chip_peak_id	nearby_BCOR_in_adult	nearby_BCOR_in_P0
CRX.3435	0	0
CRX.3436	0	0
CRX.3441	0	0
CRX.3453	0	0
CRX.3454	0	0
CRX.3458	0	0
CRX.3464	0	1
CRX.3465	0	0
CRX.3468	1	0
CRX.3475	0	0
CRX.3476	0	0
CRX.3480	0	0
CRX.3490	0	0
CRX.3494	0	0
CRX.3495	0	0
CRX.3505	0	0
CRX.3516	0	0
CRX.3517	0	0
CRX.3519	0	0
CRX.3527	0	0
CRX.3528	0	0
CRX.3531	0	0
CRX.3532	0	0
CRX.3541	0	0
CRX.3545	0	0
CRX.3546	2	0
CRX.3549	0	0
CRX.3552	0	0
CRX.3554	0	0
CRX.3557	0	0
CRX.3560	0	0
CRX.3561	0	0
CRX.3562	0	0
CRX.3568	0	0
CRX.3575	0	0
CRX.3577	0	0
CRX.3580	0	0
CRX.3585	0	0
CRX.3586	0	0
CRX.3595	0	0
CRX.3601	0	0
CRX.3615	0	0
CRX.3619	0	0
CRX.3623	0	0
CRX.3624	0	0
CRX.3627	0	0
CRX.3628	0	0
CRX.3631	0	0
CRX.3632	0	0
CRX.3635	0	0
CRX.3639	0	0
CRX.3646	2	1
CRX.3648	0	0
CRX.3649	0	0
CRX.3656	0	0
CRX.3657	0	0
CRX.3660	0	0
CRX.3668	0	2
CRX.3677	0	0
CRX.3679	0	0
CRX.3680	0	0
CRX.3684	1	0
CRX.3687	1	2
CRX.3690	2	1
CRX.3692	0	0
CRX.3695	0	0
CRX.3698	0	0
CRX.3705	0	0
CRX.3709	0	0
CRX.3715	0	0
CRX.3720	0	0
CRX.3721	2	0
CRX.3722	2	0
CRX.3723	0	0
CRX.3724	0	0
CRX.3731	0	0
CRX.3737	0	0
CRX.3738	0	1
CRX.3742	0	0
CRX.3743	0	0
CRX.3747	0	0
CRX.3749	0	0
CRX.3750	0	0
CRX.3755	0	0
CRX.3757	1	0
CRX.3758	0	0
CRX.3764	0	0
CRX.3765	0	0
CRX.3771	0	0
CRX.3774	0	0
CRX.3776	0	0
CRX.3785	0	0
CRX.3787	0	0
CRX.3788	0	0
CRX.3792	0	1
CRX.3794	1	0
CRX.3797	1	0
CRX.3800	2	2
CRX.3803	0	0
CRX.3806	0	1
CRX.3807	2	2
CRX.3809	0	0
CRX.3816	1	0
CRX.3819	0	0
CRX.3822	0	0
CRX.3830	0	1
CRX.3831	0	0
CRX.3832	1	0
CRX.3835	0	0
CRX.3842	0	0
CRX.3852	0	0
CRX.3855	0	0
CRX.3856	0	0
CRX.3858	1	1
CRX.3859	0	0
CRX.3861	0	0
CRX.3865	0	0
CRX.3870	0	0
CRX.3871	0	0
CRX.3872	0	0
CRX.3877	0	0
CRX.3878	0	0
CRX.3890	1	0
CRX.3894	0	0
CRX.3898	0	0
CRX.3900	0	0
CRX.3901	0	0
CRX.3912	1	2
CRX.3914	0	0
CRX.3917	0	0
CRX.3918	0	0
CRX.3930	0	0
CRX.3932	0	0
CRX.3934	1	1
CRX.3940	0	0
CRX.3941	1	0
CRX.3944	0	0
CRX.3950	0	0
CRX.3953	2	2
CRX.3958	1	0
CRX.3962	0	0
CRX.3971	0	0
CRX.3977	0	0
CRX.3980	0	0
CRX.3981	0	0
CRX.3986	0	1
CRX.3990	2	2
CRX.3993	0	0
CRX.3994	0	0
CRX.4006	0	0
CRX.4009	1	1
CRX.4022	0	0
CRX.4025	0	0
CRX.4027	0	0
CRX.4030	0	0
CRX.4034	0	0
CRX.4037	0	0
CRX.4046	0	0
CRX.4066	0	2
CRX.4068	0	0
CRX.4069	1	1
CRX.4071	0	0
CRX.4079	2	2
CRX.4080	0	2
CRX.4082	0	0
CRX.4088	0	0
CRX.4092	0	0
CRX.4094	0	0
CRX.4096	0	0
CRX.4098	0	0
CRX.4100	0	0
CRX.4101	0	0
CRX.4102	0	0
CRX.4104	0	0
CRX.4107	2	1
CRX.4110	0	2
CRX.4112	0	0
CRX.4116	0	0
CRX.4124	0	0
CRX.4127	0	0
CRX.4128	0	0
CRX.4134	0	0
CRX.4135	0	2
CRX.4136	0	0
CRX.4138	0	0
CRX.4146	0	0
CRX.4149	0	0
CRX.4151	0	0
CRX.4153	0	0
CRX.4159	0	0
CRX.4162	0	0
CRX.4163	0	1
CRX.4166	0	0
CRX.4167	0	0
CRX.4181	0	0
CRX.4186	0	0
CRX.4187	0	0
CRX.4189	0	0
CRX.4191	2	0
CRX.4201	0	0
CRX.4210	1	2
CRX.4214	0	0
CRX.4216	1	1
CRX.4222	0	0
CRX.4226	0	0
CRX.4229	0	0
CRX.4237	0	0
CRX.4239	1	0
CRX.4242	0	0
CRX.4244	2	0
CRX.4245	0	0
CRX.4246	0	0
CRX.4248	0	0
CRX.4250	0	2
CRX.4252	0	0
CRX.4255	1	0
CRX.4257	1	0
CRX.4259	0	0
CRX.4260	0	0
